編號,書名, 出版年,定價
1,臺灣人士鑑,110年,3000
2,臺灣學通訊2021年合訂本,110年,400
3,印相中的讀冊年代,110年,600
4,蕃人觀光日誌,110年,500
5,臺灣學通訊2020年合訂本,109年,400
6,繼往開來—黃光男水墨手卷特展專輯,109年,500
7,繁星共閱．天堂圖書館的魔法：105–108年強化身心障礙者數位化圖書資源利用中程發展計畫成果專輯,109年,350
8,吳鶴記及館藏臺灣北部古文書專輯,109年,500
9,臺灣學通訊2019年合訂本,108年,400
10,近代臺灣與東南亞,108年,600
11,臺灣歷史畫帖,107年,1000
12,107年創意閱讀開麥～Library Talk：公共圖書館閱讀推廣優良文案,107年,300
13,解開中山樓建築之謎,107年,300
14,臺灣學通訊2018年合訂本,107年,400
15,臺灣學通訊2017年合訂本,106年,400
16,《畫說季康》畫作修復紀錄片,106年,300
17,跫音50開新局—陽明山中山樓50週年紀念專刊,105年,400
18,跫音50開新局—陽明山中山樓50週年紀念影像暨電子書(DVD),105年,400
19,臺灣地輿總圖,105年,160
20,臺灣學通訊2016年合訂本,105年,400
21,裝幀源流-傳世聚珍談裝幀特展,105年,300
22,圖書館身心障礙讀者服務指引,105年,50
23,超閱視界 共創精彩－101-104年「強化視障者電子化圖書資源利用中程發展計畫」成果專輯,104年,350
24,《臺灣公論》鳥瞰圖選集,104年,2000
25,閱讀推廣智庫(Idea Bank),104年,500
26,臺灣學通訊2015年合訂本,104年,400
27,林獻堂先生與霧峯林家特展手冊,104年,150
28,典藏臺灣記憶-2013-2014館藏臺灣學研究書展專輯,103年,500
29,臺灣學通訊2014年合訂本,103年,400
30,近代東亞中的臺灣—國際學術研討會論文集,102年,500
31,臺灣學通訊2013年合訂本,102年,400
32,日治時期(1895-1945)繪葉書—臺灣風景明信片 全島卷(上),102年,1000
33,日治時期(1895-1945)繪葉書—臺灣風景明信片 全島卷(下),102年,1000
34,日治時期(1895-1945)繪葉書—臺灣風景明信片 花蓮港廳.臺東廳卷,102年,1000
35,我與圖書館的故事,102年,360
36,國立臺灣圖書館館藏發展政策,102年,150
37,臺灣學通訊2012年合訂本,101年,400
38,典藏臺灣記憶?2011-2012館藏臺灣學研究書展專輯,101年,500
39,i悅讀－閱讀植根與空間改造：98-101年圖書館創新服務發展計畫成果手冊,101年,300
40,臺灣學系列講座專輯（五）,101年,360
41,臺灣學系列講座專輯(四),101年,390
42,閱讀扎根夢想成真,100年,500
43,西川滿大展展覽手冊,100年,150
44,臺灣學通訊2011年合訂本,100年,400
45,享和三年癸亥漂流臺灣チヨプラン島之記《編譯本》,100年,500
46,享和三年癸亥漂流臺灣チヨプラン島之記《套》,100年,2000
47,臺灣學系列講座專輯(三),100年,380
48,典藏臺灣記憶-2010館藏臺灣學研究書展專輯,99年,450
49,清國時代官署印影集,99年,350
50,本事--圖書維護小事典,99年,160
51,臺灣學通訊2010年合訂本,99年,400
52,臺灣學系列講座專輯(二),98年,500
53,典藏臺灣記憶-2009館藏臺灣學研究書展專輯,98年,500
54,臺灣學研究國際學術研討會：殖民與近代化論文集,98年,500
55,國立中央圖書館臺灣分館臺中地區古文書選輯 平裝,98年,400
56,國立中央圖書館臺灣分館臺中地區古文書選輯,98年,500
57,臺灣學通訊2009年合訂本,98年,400
58,臺灣圖書館的故事,98年,100
59,2008館藏臺灣學研究書展專輯,97年,450
60,琳瑯人生：張李德和(1893-1972),97年,140
61,臺灣研究相關資料庫調查（97年度）,97年,180
62,臺灣學系列講座專輯(一),97年,350
63,臺灣學通訊2008年合訂本,97年,400
64,采風圖合卷,96年,1800
65,國立中央圖書館臺灣分館館藏發展政策,96年,100
66,臺灣研究相關資料庫調查(96年度),96年,180
67,點字數位圖書館,96年,100
68,走向世界全盤西化：陳序經博士,95年,300
69,臺灣圖書館為民服務白皮書,95年,300
70,臺灣歷史七字仔,95年,300
71,日文舊籍台灣文獻聯合目錄,94年,100
72,根的迴響：慶祝建館九十週年論文集（平裝）,94年,400
73,根的迴響：慶祝建館九十週年論文集（精裝）,94年,600
74,第六屆海峽兩岸兒童及中小學圖書館學術研討會論文集（平裝）,94年,300
75,第六屆海峽兩岸兒童及中小學圖書館學術研討會論文集（精裝）,94年,400
76,臺灣圖書館經營史略（平裝）,94年,300
77,臺灣圖書館經營史略（精裝）,94年,400
78,歷久彌新-新館營運週年特刊（平裝）,94年,250
79,歷久彌新-新館營運週年特刊（精裝）,94年,350
80,e目瞭然:兒童資訊百寶箱,93年,200
81,法律、管理與圖書館（平裝）,93年,300
82,法律、管理與圖書館（精裝）,93年,400
83,跨時代的臺灣貨殖家－黃南球先生年譜(1840-1919),93年,300
84,成長的喜悅-終身學習研習班成果彙集 ,91年,450
85,民俗器物圖錄‧臺灣古物篇,90年,1000
86,新庄子東海堂徐氏族譜,90年,1200
87,日文臺灣資料目錄  平裝,89年,500
88,清代臺灣三十三種地方志采訪冊紀略人名索引(下冊),89年,1000
89,清代臺灣三十三種地方志采訪冊紀略人名索引(上冊),89年,1000
90,民俗器物圖錄‧石灣陶,88年,1000
91,金門‧馬祖地區現存碑碣圖誌,88年,800
92,臺灣地區現存碑碣圖誌宜蘭縣、基隆市篇,88年,800
93,臺灣地區現存碑碣圖誌補遺篇,88年,800
94,臺灣地區現存碑碣圖誌臺北市、桃園縣篇,88年,800
95,臺灣地區現存碑碣圖誌臺北縣篇,88年,800
96,臺灣客家文化研究 平裝,88年,200
97,臺灣客家文化研究 精裝,88年,250
98,館藏臺灣文獻期刊論文索引＜83-84年＞,88年,1000
99,民俗器物圖錄‧神像篇,87年,800
100,西螺埔心程氏族譜,87年,200
101,臺灣地區現存碑碣圖誌苗栗縣篇,87年,800
