地區,核准臺商對外投資─件數(2019年5月),核准臺商對外投資─金額(百萬美元)(2019年5月),核准臺商對外投資─金額比重(2019年5月),核准臺商對外投資─件數(2019年6月),核准臺商對外投資─金額(百萬美元)(2019年6月),核准臺商對外投資─金額比重(2019年6月),核准臺商對外投資─件數(2019年1-6月),核准臺商對外投資─金額(百萬美元)(2019年1-6月),核准臺商對外投資─金額比重(2019年1-6月),核准臺商對外投資─件數(1991-2019年6月累計),核准臺商對外投資─金額(百萬美元)(1991-2019年6月累計),核准臺商對外投資─金額比重(1991-2019年6月累計)
中國大陸 ,56 ,447.2 ,39.7 ,33 ,173.8 ,23.7 ,282 ,"2,078.9 ",36.8 ,"43,597 ","184,418.0 ",57.0 
盧森堡 ,0 ,0.0 ,0.0 ,0 ,0.0 ,0.0 ,1 ,604.3 ,10.7 ,9 ,632.5 ,0.2 
新加坡 ,2 ,15.5 ,1.4 ,2 ,206.9 ,28.2 ,12 ,572.1 ,10.1 ,582 ,"14,118.5 ",4.4 
越南 ,6 ,35.1 ,3.1 ,6 ,31.7 ,4.3 ,41 ,446.6 ,7.9 ,662 ,"10,509.8 ",3.2 
薩摩亞 ,8 ,256.3 ,22.7 ,2 ,1.4 ,0.2 ,21 ,333.0 ,5.9 ,610 ,"2,579.6 ",0.8 
香港 ,6 ,63.8 ,5.7 ,9 ,70.2 ,9.6 ,39 ,312.7 ,5.5 ,"1,628 ","6,866.8 ",2.1 
美國 ,7 ,129.8 ,11.5 ,8 ,12.8 ,1.7 ,41 ,245.1 ,4.3 ,"5,306 ","16,355.2 ",5.1 
加勒比海英國屬地 ,10 ,35.7 ,3.2 ,6 ,38.5 ,5.2 ,47 ,234.4 ,4.2 ,"2,646 ","44,804.6 ",13.8 
泰國 ,1 ,0.4 ,0.0 ,9 ,81.2 ,11.1 ,21 ,195.8 ,3.5 ,435 ,"3,701.0 ",1.1 
印尼 ,2 ,77.9 ,6.9 ,1 ,1.0 ,0.1 ,8 ,90.7 ,1.6 ,268 ,"1,492.9 ",0.5 
巴拿馬 ,0 ,0.8 ,0.1 ,0 ,50.0 ,6.8 ,0 ,77.9 ,1.4 ,77 ,"1,786.6 ",0.6 
百慕達 ,0 ,0.0 ,0.0 ,0 ,0.0 ,0.0 ,0 ,56.8 ,1.0 ,104 ,"3,598.4 ",1.1 
其他地區 ,13 ,65.6 ,5.8 ,13 ,65.9 ,9.0 ,82 ,398.6 ,7.1 ,"3,553 ","32,886.0 ",10.2 
