"期間","上市股票-公司家數-原始值","上市股票-公司家數-年增率","上市股票-總面額-原始值","上市股票-總面額-年增率","上市股票-總市值-原始值","上市股票-總市值-年增率","上市股票-總成交值-原始值","上市股票-總成交值-年增率","上市股票-日平均成交值-原始值","上市股票-日平均成交值-年增率","加權平均股價指數-原始值","加權平均股價指數-年增率"
"1987M05","130","-","242530","-","985607","-","203081","-","-","-","1814.28","-"
"1987M06","130","-","242530","-","859605","-","134731","-","-","-","1735.67","-"
"1987M07","131","-","243578","-","995097","-","180050","-","-","-","1858.05","-"
"1987M08","132","-","245733","-","1438304","-","315835","-","-","-","2451.50","-"
"1987M09","133","-","265586","-","2348720","-","511592","-","-","-","3567.25","-"
"1987M10","136","-","275216","-","1493811","-","317985","-","-","-","3590.11","-"
"1987M11","138","-","278601","-","1643931","-","238461","-","-","-","2713.66","-"
"1987M12","141","-","287346","-","1386065","-","219757","-","-","-","2648.33","-"
"1988M01","141","-","287832","-","1641233","-","262226","-","-","-","2610.83","-"
"1988M02","141","-","289040","-","2036574","-","296747","-","-","-","3206.85","-"
"1988M03","141","-","289724","-","1953635","-","376506","-","-","-","3345.91","-"
"1988M04","140","-","289198","-","2384794","-","488356","-","-","-","3767.78","-"
"1988M05","140","7.69231","289205","19.24504","2515744","155.24819","637538","213.93286","-","-","4441.56","144.81116"
"1988M06","140","7.69231","291004","19.98681","2666469","210.19701","680322","404.94838","-","-","4951.33","185.26909"
"1988M07","143","9.16031","293760","20.60202","3170406","218.60271","597264","231.72119","-","-","5422.07","191.81507"
"1988M08","144","9.09091","299032","21.68980","3904527","171.46744","1015561","221.54796","-","-","7352.13","199.90332"
"1988M09","145","9.02256","307090","15.62733","4535309","93.09705","1060782","107.34922","-","-","8039.07","125.35763"
"1988M10","148","8.82353","316152","14.87414","3502892","134.49365","298159","-6.23489","-","-","6580.92","83.30692"
"1988M11","150","8.69565","325234","16.73827","3983759","142.33128","1389970","482.89196","-","-","6851.97","152.49921"
"1988M12","163","15.60284","343579","19.56979","3383280","144.09245","764592","247.92612","-","-","5856.62","121.14389"
"1989M01","163","15.60284","347034","20.56825","3848171","134.46829","594328","126.64724","-","-","5716.92","118.96945"
"1989M02","163","15.60284","350878","21.39427","4442402","118.13114","713401","140.40715","-","-","6679.85","108.29942"
"1989M03","164","16.31206","353121","21.88186","4383523","124.37779","1533262","307.23441","-","-","7318.04","118.71598"
"1989M04","164","17.14286","353978","22.39988","4716688","97.78178","1870653","283.05109","-","-","7785.28","106.62778"
"1989M05","165","17.85714","360606","24.68872","6071698","141.34801","2765480","333.77493","-","-","8795.43","98.02569"
"1989M06","165","17.85714","361056","24.07252","5506857","106.52245","2113351","210.63981","-","-","9497.42","91.81553"
"1989M07","166","16.08392","363804","23.84395","5670673","78.86268","1708991","186.13662","-","-","8619.62","58.97286"
"1989M08","167","15.97222","369279","23.49147","5834388","49.42624","3298868","224.83209","-","-","9731.62","32.36463"
"1989M09","167","15.17241","379476","23.57159","6216084","37.05977","2871012","170.65052","-","-","10402.75","29.40241"
"1989M10","172","16.21622","396345","25.36533","6559683","87.26478","2686544","801.04407","-","-","10066.97","52.97208"
"1989M11","176","17.33333","409435","25.88936","6018524","51.07651","3059288","120.09741","-","-","10121.37","47.71474"
"1989M12","181","11.04294","421300","22.62100","6174164","82.49048","2192785","186.79152","-","-","8658.43","47.84005"
"1990M01","184","12.88344","430671","24.10052","7712148","100.41074","2259699","280.21076","-","-","10677.57","86.77137"
"1990M02","184","12.88344","434425","23.81084","7577226","70.56597","3191567","347.37350","-","-","11983.46","79.39714"
"1990M03","184","12.19512","438770","24.25486","7013685","60.00110","2667456","73.97262","-","-","11223.10","53.36210"
"1990M04","185","12.80488","441567","24.74419","6033251","27.91287","2052297","9.71019","-","-","9741.52","25.12742"
"1990M05","186","12.72727","444866","23.36622","4698105","-22.62288","1796304","-35.04549","-","-","7848.01","-10.77173"
"1990M06","188","13.93939","451119","24.94433","3263260","-40.74188","1416651","-32.96660","-","-","6157.25","-35.16924"
"1990M07","189","13.85542","454492","24.92771","3580246","-36.86383","1307205","-23.51013","-","-","5037.66","-41.55589"
"1990M08","193","15.56886","462369","25.20858","2332031","-60.02955","917173","-72.19734","-","-","4119.74","-57.66645"
"1990M09","193","15.56886","473880","24.87746","1740877","-71.99399","421818","-85.30769","-","-","3237.57","-68.87775"
"1990M10","192","11.62791","480534","21.24134","2126663","-67.57979","579045","-78.44647","-","-","2912.16","-71.07213"
"1990M11","193","9.65909","490089","19.69885","2752594","-54.26463","1302172","-57.43546","-","-","3966.22","-60.81341"
"1990M12","199","9.94475","506425","20.20532","2681911","-56.56236","1119895","-48.92819","-","-","4399.58","-49.18732"
"1991M01","200","8.69565","515406","19.67511","2497181","-67.62016","829310","-63.29998","-","-","3938.06","-63.11839"
"1991M02","203","10.32609","521843","20.12269","3152067","-58.40078","976446","-69.40544","-","-","4643.07","-61.25435"
"1991M03","204","10.86957","531343","21.09830","3339103","-52.39160","1104381","-58.59797","-","-","4781.39","-57.39689"
"1991M04","205","10.81081","541641","22.66338","4030916","-33.18833","1578710","-23.07595","-","-","5605.66","-42.45600"
"1991M05","205","10.21505","544022","22.28896","3805427","-19.00081","1537699","-14.39651","-","-","5993.00","-23.63669"
"1991M06","208","10.63830","546291","21.09687","3921951","20.18506","827120","-41.61441","-","-","5869.78","-4.66881"
"1991M07","209","10.58201","557262","22.61206","3490570","-2.50474","551881","-57.78160","-","-","5259.56","4.40482"
"1991M08","213","10.36269","561468","21.43288","3035383","30.16049","591284","-35.53190","-","-","4779.64","16.01800"
"1991M09","212","9.84456","566397","19.52330","3239840","86.10390","415289","-1.54782","-","-","4669.08","44.21557"
"1991M10","215","11.97917","582094","21.13482","2901075","36.41442","334958","-42.15337","-","-","4541.45","55.94782"
"1991M11","220","13.98964","592434","20.88294","2900938","5.38924","505581","-61.17402","-","-","4448.69","12.16448"
"1991M12","221","11.05528","616707","21.77657","3184028","18.72236","430079","-61.59649","-","-","4438.66","0.88827"
"1992M01","223","11.50000","628344","21.91243","3853335","54.30740","1012565","22.09729","-","-","5023.19","27.55494"
"1992M02","228","12.31527","637410","22.14593","3728763","18.29580","701458","-28.16213","-","-","5031.01","8.35525"
"1992M03","230","12.74510","646264","21.62840","3529542","5.70330","566714","-48.68492","-","-","4908.19","2.65195"
"1992M04","233","13.65854","661601","22.14751","3276554","-18.71441","367735","-76.70661","-","-","4529.40","-19.19952"
"1992M05","237","15.60976","668974","22.96819","3310759","-12.99901","535096","-65.20151","-","-","4476.85","-25.29868"
"1992M06","239","14.90385","671785","22.97201","3311300","-15.57008","758155","-8.33797","-","-","4588.46","-21.82910"
"1992M07","240","14.83254","674314","21.00484","2961026","-15.17070","530314","-3.90791","-","-","4234.61","-19.48737"
"1992M08","242","13.61502","685008","22.00303","2851607","-6.05446","427631","-27.67756","-","-","3918.12","-18.02479"
