圖書館名稱,所屬縣市,地址,行政區,電話,郵遞區號,傳真,經度,緯度,網址,簡介
宜蘭縣政府文化局圖書館,宜蘭縣,宜蘭縣宜蘭市復興路二段101號,宜蘭市,03-9322440#230,26051,03-9352074,121.7452,24.74924,http://www.ilccb.gov.tw/cp.aspx?n=5817990EA694E363&s=C6C5B19D3A2DD2C3,宜蘭縣政府文化局圖書館原名宜蘭縣圖書館，民國41年5月在宜蘭市中山公園籌備創設，同年9月1日正式營運，71年9月21日遷至現址，隸屬於宜蘭縣政府文化局，館舍位於局內一至三樓。 負輔導鄉鎮圖書館之責，亦辦理多元閱讀推廣活動，圖書館利用教育課程、藝文系列講座、書展等活動；持續收集縣籍作家作品，發行由縣籍作家所撰寫的「蘭陽文學叢書」之外，每2年舉辦蘭陽文學獎，提升蘭陽文學。\n
宜蘭縣宜蘭市立圖書館,宜蘭縣,宜蘭縣宜蘭市民權路一段53號,宜蘭市,03-9355604,260,03-9330719,121.7544,24.7524,http://www.ilccb.gov.tw/cp.aspx?n=5817990EA694E363&s=EE6922E9CFA19138,21世紀的公共圖書館其服務領域應是多元、創意的文化環境，更是營造文化、追求願景的心靈活化工程。感謝文建會給予公共圖書館注入活絡養分，喜見嶄新優質閱讀環境正與讀者間為新閱讀價值文化定位而相互激盪與肯定，俾提昇公共圖書館社會地位。\n\n本館內外空間佈局以具有文化、藝術、休閒、知性經營理念陳設之，以【閱讀生活習慣自然生命力─您在圖書館裡遇見您自己】規劃品味與閱讀的共鳴溫馨氛圍空間佈局。\n\n一樓著重在培養兒童喜歡接近圖書館閱讀生活習慣空間佈局，更特設美國勘薩斯州之黎霧市﹝宜蘭市公所姊妹市﹞及紐澤西州贊助兒童外文讀物閱讀專區，父母親可陪同孩子於親子共讀區共享閱讀樂趣，俾可增進其親子間合諧親密關係。休閒式傢俱與字畫、文物相映襯下之閱報雜誌區，更是為穿梭在煩擾塵囂中的民眾提供能藉由閱讀而能獲得其心靈的休憩與釋放，彷彿在閱讀的樂趣習慣中與遇見您自己。\n\n二樓為開放式書庫專區為奎文閣竹林區﹝台灣地方志書專櫃﹞，將單調書庫陳列及色彩結合蘭陽地區之刺竹構築佈局是獨創且令人驚艷的，將昔日舊農用大水缸內栽植綠竹，挺拔秀麗，四周擺置石磨、蓑衣、碾稻榖車農具、竹編屏風等塑造成蘭陽鄉土情境，同時溫馨地擺設一座新式之可左右伸展收縮式的新書雜誌櫃乙座，此時整座書庫則呈現出結合地方文化、藝術與休閒特色的優質閱讀環境。\n\n三樓為館藏特色--音樂圖書館，將結合縣內各音樂工作者舉辦以如何欣賞音樂、認識音樂等研習活動，多媒體欣賞區、研究討論區、美國勘斯薩斯州及紐澤西州所捐贈之成人英文閱讀專區等更是結合縣內各音樂團體成為獨特音樂讀書會閱讀最佳空間。\n\n地下室闢建為視覺藝術展演空間，俾提供藝文界一精緻典雅的展演空間，吾人欲將使民眾只要張開眼睛，圖書館一切空間皆是在視覺藝術的領域內，如此民眾與圖書館間的互動是豐沛與精彩的。\n\n館外空間為使文化藝術之氣息能與民眾能在日常生活中不被窄化，特將圖書館外觀已舊噶瑪蘭城百年之石門額、石柱珠、檜木、石磨、陰刻閱讀&mdash;你在圖書館裡遇見您自及字樣等結合綠美化休閒景觀。\n
宜蘭縣羅東鎮立圖書館,宜蘭縣,宜蘭縣羅東鎮純精路一段88號,羅東鎮,03-9572505,265,03-9576703,121.765342,24.669899,http://www.ilccb.gov.tw/cp.aspx?n=5817990EA694E363&s=1C0C7D3F4AE4620C,本館創立於民國50年1月，館址位於興東路26號。初期藏書四千冊，僅供館內閱覽。54年9月6日改隸為縣立圖書館羅東分館，館址設於中正路19號，藏書達一萬冊，已開放閱覽及外借服務。67年6月館舍遷至民生路96號。73年5月20日改隸縣文化局圖書館羅東分館。75年7月館舍遷至中興路1號。76年6月1日更名為羅東鎮立圖書館隸屬羅東鎮公所，同時館舍遷至羅東鎮體育路40號2、3樓。\n\n93年3月完成空間及營運改善工程，使羅東鎮立圖書館成為一所現代化的圖書館。96年5月27日搬遷至宜蘭縣羅東鎮純精路一段88號由李科永文教基金會捐建之「李科永紀念圖書館」大樓內。圖書館緊臨文化二館成一整體文教休閒專區，為一棟獨立三樓現代化的圖書館，周圍環境清新，交通便利，館內提供讀者圖書資料借閱、資訊檢索、視覺藝術觀賞、自修研習等。每季陳列暢銷書並展示新書供讀者參閱。館內亦可無線上網，為讀者喜愛流連知識瀚海的最佳環境。\n
宜蘭縣蘇澳鎮立圖書館,宜蘭縣,宜蘭縣蘇澳鎮聖湖里育才路6號,蘇澳鎮,03-9951118,27045,03-9951119,121.8362,24.5947,http://www.ilccb.gov.tw/cp.aspx?n=5817990EA694E363&s=7DF0D3B53EB79EF3,蘇澳鎮立圖書館於民國70年設蘇澳鎮公所3樓，81年獲省、縣府補助於現址興建兩層館舍(1樓原為社區文康中心)84年5月竣工，同年7月正式啟用，於86年3月8日奉省教育廳核准設立「蘇澳鎮立圖書館」。92年12月31日將1樓社區活動中心收回歸圖書館正常使用，經內部空間整修改善規劃為多功能研習區、親子閱讀區、資訊區、閱報區、服務台、展覽區等；2樓內部空間則規劃為書庫、自修區，使館舍煥然一新，讓人感覺溫馨與舒適。\n圖書館毗鄰蘇澳國中、國小，位於蘇澳鎮人口最多之聖湖里，圖書館藏豐富多樣，民眾到館使用率及借閱率相當高；圖書館常視節慶或適當時機舉辦藝文及親子活動，亦定期購置並舉辦各項相關叢書特展，營運成效良好。
宜蘭縣頭城鎮立圖書館,宜蘭縣,宜蘭縣頭城鎮開蘭路1-1號,頭城鎮,03-9777092,261,03-9771154,121.8209,24.8539,http://www.ilccb.gov.tw/cp.aspx?n=5817990EA694E363&s=061AE82C9DB77677,頭城鄉立圖書館創立於民國85年12月26日，原位於青雲路上日據時期的大千戲院遺址，由於來往車輛多且設備老舊，於民國98年7月25日遷館至現址，館舍為獨棟建築物，一樓設置頭城鎮立圖書館，附有閱讀室、親子閱讀區、書報閱讀覽區、資訊教室、室外閱讀區等，並提供藝文展示空間，除提供圖書館之閱覽借閱服務功能外，也是多元藝文活動的空間。二樓為多功能會議中心，提供300張座位，適合舉辦大型會議、電影節及音樂會等活動。 圖書館不僅提供舒適安靜的閱讀空間，亦結合地方資源，長期與社區、社團合作辦理活動，吸引更多鎮民到館參與活動，是本鎮最有人氣，且兼具閱讀、休閒，社教的場所。\n
宜蘭縣礁溪鄉立圖書館,宜蘭縣,宜蘭縣礁溪鄉礁溪路四段23-10號,礁溪鄉,03-9880605,262,03-9873639,121.7679,24.8177,http://www.ilccb.gov.tw/cp.aspx?n=5817990EA694E363&s=49BE1C2FFAE1A8EA,礁溪鄉立圖書館位於礁溪國中校園內，於民國79年7月16日興建，82年6月落成啟用，為地下一層、地上二層之獨棟建築物。民國92年向內政部爭取450萬元，執行公共圖書館空間營運改善計畫，93年4月2日完成館舍內部空間改善後，一改過往空間狹窄，光線不良之現象，頗受讀者好評，為配合校園內數棵百年老樹，館內也營造大樹下讀書去的意象，營造悠閒之閱讀氛圍。 圖書館長期深耕閱讀及藝文活動，除提供閱覽，視聽、參考及資訊等服務外，亦蒐集、典藏地方文物資料，扮演社區居民的好鄰居，同時兼具文化傳承及資訊傳播的角色，希望藉此帶動閱讀風氣，讓鄉民成為快樂的讀書、愛書人。\n
宜蘭縣壯圍鄉立圖書館,宜蘭縣,宜蘭縣壯圍鄉吉祥村中央路二段358號,壯圍鄉,03-9386247,26344,03-9371150,121.7876,24.7489,http://www.ilccb.gov.tw/cp.aspx?n=5817990EA694E363&s=AC6A2586FA370719,壯圍鄉立圖書館建於民國79年，81年12月25日正式營運，因館舍老舊，空間不敷使用，於100年獲教育部「公共圖書館閱讀環境與設備升級實施計畫」補助款，進行空間改善工程，完工後的館舍令人為之一亮，溫暖舒適，動線流暢，佳評如潮。 圖書館一樓設置書庫、期刊區、館藏特色區及縣籍作家專區、二樓為藝文教室及資訊教學區，為鼓勵閱讀向下紮根，特於該樓層擴建親子共讀區，推廣兒童閱讀。沿著通往二樓的階梯，則展示在地詩人作品，又稱「新詩通道」，館舍並陳列在地藝術家之創作藝品，營造優雅之閱讀氛圍。日後圖書館除持續豐富館藏資源外，亦積極辦理文化推廣及圖書館利用教育活動，以吸引更多民眾使用圖書館。\n
宜蘭縣員山鄉立圖書館,宜蘭縣,宜蘭縣員山鄉員山村員山村復興路20號,員山鄉,03-9227181,264,03-9223924,121.7226,24.7452,http://www.ilccb.gov.tw/cp.aspx?n=5817990EA694E363&s=8C9663DE21436951,員山鄉立圖書館於民國78年4月動工興建，79年3月完成建設，80年6月19日正式開館啟用，館舍為地上一層，地下一層之獨棟建築物，98年因獲教育部補助，執行公共圖書館空間營運改善計畫，改善後的館舍空間更為寬敞，動線更為順暢，讓民眾更樂於利用圖書館。自99年9月1日重新開館後，圖書館不定期舉辦各項藝文推廣、好書交換、公視電影播放等活動，現有館藏三萬餘冊（件），提供閱覽、閱聽、參考及資訊等服務。 本鄉立圖書館位員山公園、忠烈祠且緊鄰員山國小，台七線省道旁，是遊客往福山植物園的轉運站，本鄉風景秀麗，鄉內擁有枕頭山、橫山頭、大湖底三大休閒農業區，假日遊客絡繹不絕，本鄉立圖書館也成遊客們來員山鄉旅遊的諮詢資訊站。\n
宜蘭縣冬山鄉立圖書館-順安館,宜蘭縣,宜蘭縣冬山鄉順安村永興路二段17-1號,冬山鄉,03-9580384,26942,03-9588951,121.7635,24.6547,http://www.ilccb.gov.tw/cp.aspx?n=5817990EA694E363&s=31D80F602BE78F77,冬山鄉立圖書館創於民國81年11月，隸屬冬山鄉公所。位於順安國小內，為獨棟建築物，樓高三層面積有1100平方公尺。經92年執行公共圖書館空間及營運改善計畫，於93年4月完成內部空間整修改善。館內空間煥然一新，全館共分八區（館藏特色區、新書介紹區、書報、雜誌區、櫃檯服務區、視聽區、兒童閱覽區、二樓讀書會專區及一般閱讀區、三樓書庫區）。成為兒童學習的「加油站」，是鄉民終身學習的「好鄰居」、「好厝邊」。\n
宜蘭縣冬山鄉立圖書館-冬山館,宜蘭縣,宜蘭縣冬山鄉南興村冬山路98-1號,冬山鄉,03-9592426,26946,03-9595829,121.7943,24.6332,http://www.ilccb.gov.tw/cp.aspx?n=5817990EA694E363&s=31D80F602BE78F77,冬山鄉立圖書館-冬山館長年借用冬山社區活動中心二樓，空間及設備早已不敷使用，有幸於101年由企業家－阿瘦皮鞋羅水木總裁以個人名義捐贈建造新館，總樓地板面積為763.33平方公尺，於104年9月14日遷入開始營運，全館新增圖書除菌機、多功能投影機、置物櫃等。一樓有新書展示區、檢索區、親子閱覽室、期刊閱報區、樂齡專區、二樓有多功能活動區A、B室、書庫區、青少年閱覽區及阿瘦真情故事館共分9區。 本館除提供一般閱讀各式圖書、期刊、電子圖書有聲外，也舉辦各項展示、閱讀推廣及藝文活動，另常態經營親子讀書會及親子英文兒歌，整合社區資源結合地方產業特色，加強由圖書館為主軸，藉由教育推廣提供軟硬體設備讓社區民眾與圖書館形成緊密連結，共創現代化之終身學習環境。\n
