ScientificName,Kingdom,Kingdom_C,Phylum,Phylum_C,Class,Orders,Order_C,Family,Family_C,Genus,Collector,ForestConservation,Latitude,Longitude
Gonocormus minutus (v. d. Bosch) Bak.,,,,,Pteridophyte,,,Hymenophyllaceae,膜蕨科,Gonocormus,,0,25.14,121.53
Lonicera oiwakensis Hayata,Plantae,植物界,Magnoliophyta,木蘭植物門,Dicotyledon,Dipsacales,續斷目,Caprifoliaceae,忍冬科,Lonicera,許再文,0,24.36,121.43
Pronephrium cuspidatum (Blume) Holtt.,,,,,Pteridophyte,,,Thelypteridaceae,金星蕨科,Pronephrium,,0,22.08,120.85
Christella ensifera (Tagawa) Holtt. ex Kuo,,,,,Pteridophyte,,,Thelypteridaceae,金星蕨科,Christella,,0,23.57,120.72
Asparagus cochinchinensis (Lour.) Merr.,,,,,Monocotyledon,,,Liliaceae,百合科,Asparagus,,0,23.51,120.68
Metathelypteris sp.,,,,,Pteridophyte,,,Thelypteridaceae,金星蕨科,Metathelypteris,,0,23.50,120.70
Christella parasitica x Christella acuminata (hyb.),,,,,Pteridophyte,,,Thelypteridaceae,金星蕨科,Christella,,0,23.89,120.60
Paris lanceolata Hayata,,,,,,,,Liliaceae,百合科,Paris,,0,24.16,121.28
Trillium tschonoskii Maxim.,,,,,,,,Liliaceae,百合科,Trillium,,0,24.16,121.28
Viburnum urceolatum Sieb. et Zucc.,Plantae,植物界,Magnoliophyta,木蘭植物門,Dicotyledon,Dipsacales,續斷目,Caprifoliaceae,忍冬科,Viburnum,曾彥學,0,24.85,121.77
Allium,,,,,,,,Liliaceae,百合科,,,0,0.00,0.00
Cyperus spp.,,,,,,,,Cyperaceae,莎草科,Cyperus,,0,23.83,120.78
Abelia ionandra Hayata,,,,,,,,Caprifoliaceae,忍冬科,Abelia,,0,24.03,121.22
Cyperus rotundus L.,,,,,Monocotyledon,,,Cyperaceae,莎草科,Cyperus,,0,24.91,120.97
Pycreus sp.,,,,,Monocotyledon,,,Cyperaceae,莎草科,Pycreus,,0,24.91,120.97
Fimbristylis sp.,,,,,Monocotyledon,,,Cyperaceae,莎草科,Fimbristylis,,0,24.89,121.54
Disporum sp.,,,,,Monocotyledon,,,Liliaceae,百合科,Disporum,,0,17.03,101.02
Viburnum odoratissimum Ker,,,,,Dicotyledon,,,Caprifoliaceae,忍冬科,Viburnum,,0,22.24,120.84
Viburnum formosanum Hayata,,,,,Dicotyledon,,,Caprifoliaceae,忍冬科,Viburnum,,0,22.16,120.72
Ophiopogon japonicus (L. f.) Ker-Gawl.,,,,,Monocotyledon,,,Liliaceae,百合科,Ophiopogon,,0,22.16,120.72
Thelypteris,,,,,Pteridophyte,,,Thelypteridaceae,金星蕨科,Thelypteris,,0,22.41,120.75
Carex,,,,,Monocotyledon,,,Cyperaceae,莎草科,Carex,,0,24.14,121.28
Hibiscus indica,,,,,Dicotyledon,,,Malvaceae,錦葵科,Hibiscus,,0,22.07,120.80
Leptogramma tottoides H. Ito,,,,,Pteridophyte,,,Thelypteridaceae,金星蕨科,Leptogramma,,0,24.28,121.01
Pseudophegopteris subaurita (Tagawa) Ching,,,,,Pteridophyte,,,Thelypteridaceae,金星蕨科,Pseudophegopteris,,0,24.28,121.01
Vandenboschia radicans (Sw.) Copel.,,,,,Pteridophyte,,,Hymenophyllaceae,膜蕨科,Vandenboschia,,0,23.79,120.78
Metathelypteris gracilescens (Blume) Ching,,,,,Pteridophyte,,,Thelypteridaceae,金星蕨科,Metathelypteris,,0,23.93,120.89
Pronephrium triphyllum (Sw.) Holtt.,,,,,Pteridophyte,,,Thelypteridaceae,金星蕨科,Pronephrium,,0,23.93,120.89
Crepidomanes,,,,,Pteridophyte,,,Hymenophyllaceae,膜蕨科,Crepidomanes,,0,23.73,120.79
Dictyocline griffithii Moore var. wilfordii (Hook.) Moore,,,,,Pteridophyte,,,Thelypteridaceae,金星蕨科,Dictyocline,,0,24.76,121.61
Tricyrtis formosana Baker,,,,,Monocotyledon,,,Liliaceae,百合科,Tricyrtis,,0,23.76,120.79
Pinus taiwanensis Hayata,,,,,Gymnosperm,,,Pinaceae,松科,Pinus,,0,23.26,120.98
Pinus fragilissma,,,,,Gymnosperm,,,Pinaceae,松科,Pinus,,0,23.16,121.05
Pinus massoniana Lamb.,,,,,Gymnosperm,,,Pinaceae,松科,Pinus,,0,24.36,120.73
Lilium distichum Nakai,,,,,Monocotyledon,,,Liliaceae,百合科,Lilium,,0,41.96,127.91
Lonicera,,,,,Dicotyledon,,,Caprifoliaceae,忍冬科,Lonicera,,0,42.33,128.02
Lilium formosanum Wallace,,,,,Monocotyledon,,,Liliaceae,百合科,Lilium,,0,23.81,120.84
Cyclosorus,,,,,Pteridophyte,,,Thelypteridaceae,金星蕨科,Cyclosorus,,0,24.76,121.61
Bulbostylis barbata (Rottb.) C. B. Clarke,,,,,Monocotyledon,,,Cyperaceae,莎草科,Bulbostylis,,0,25.96,119.98
Carex kobomugi Ohwi,,,,,Monocotyledon,,,Cyperaceae,莎草科,Carex,,0,25.97,119.98
Fimbristylis sericea (Poir.) R. Br.,,,,,Monocotyledon,,,Cyperaceae,莎草科,Fimbristylis,,0,25.97,119.98
Urena lobata L.,,,,,Dicotyledon,,,Malvaceae,錦葵科,Urena,,0,26.22,119.98
Liriope minor (Maxim.) Makino var. angustissima (Ohwi) Ying,,,,,Monocotyledon,,,Liliaceae,百合科,Liriope,,0,26.15,119.94
Pinus thunbergii Parl.,,,,,Gymnosperm,,,Pinaceae,松科,Pinus,,0,26.16,119.95
Thespesia populnea (L.) Solad. ex Correa,,,,,Dicotyledon,,,Malvaceae,錦葵科,Thespesia,,0,23.56,119.60
Abutilon indicum (L.) Sweet,,,,,Dicotyledon,,,Malvaceae,錦葵科,Abutilon,,0,23.20,119.42
Crepidophyllum humile (Forst.) Read,,,,,Pteridophyte,,,Hymenophyllaceae,膜蕨科,Crepidophyllum,,0,24.10,121.60
Dictyocline griffithii Moore,,,,,Pteridophyte,,,Thelypteridaceae,金星蕨科,Dictyocline,,0,24.30,121.66
Tricyrtis formosana Bak. var. ovatifolia (S. S. Ying) S. S. Ying,,,,,Monocotyledon,,,Liliaceae,百合科,Tricyrtis,,0,24.30,121.66
Pinus densata Mast.,,,,,Gymnosperm,,,Pinaceae,松科,Pinus,,0,27.95,100.12
Abies,,,,,Gymnosperm,,,Pinaceae,松科,Abies,,0,28.10,100.03
Pinus sp.,,,,,Gymnosperm,,,Pinaceae,松科,Pinus,,0,99.84,27.43
Pinus armandii Franchet,,,,,Gymnosperm,,,Pinaceae,松科,Pinus,,0,99.84,27.43
Tsuga,,,,,Gymnosperm,,,Pinaceae,松科,Tsuga,,0,99.84,27.43
Hibiscus sp.,,,,,Dicotyledon,,,Malvaceae,錦葵科,Hibiscus,,0,23.02,120.14
Carex ligulata Nees,,,,,Monocotyledon,,,Cyperaceae,莎草科,Carex,,0,24.03,121.16
Hibiscus tiliaceus L.,,,,,Dicotyledon,,,Malvaceae,錦葵科,Hibiscus,,0,23.02,120.14
Pinus,,,,,Gymnosperm,,,Pinaceae,松科,Pinus,,0,23.19,121.03
Carex brunnea Thunb.,,,,,Monocotyledon,,,Cyperaceae,莎草科,Carex,,0,22.70,121.01
Dianella ensifolia (L.) DC. ex Redoute.,,,,,Monocotyledon,,,Liliaceae,百合科,Dianella,,0,22.89,121.20
Aspidistra attenuata Hayata,,,,,Monocotyledon,,,Liliaceae,百合科,Aspidistra,,0,22.63,120.71
Peliosanthes teta Andre var. kaoi (Ohwi) S. S. Ying,,,,,Monocotyledon,,,Liliaceae,百合科,Peliosanthes,,0,22.63,120.71
Tricyrtis formosana Bak. var. lasiocarpa (Mstsum.) Masam.,,,,,Monocotyledon,,,Liliaceae,百合科,Tricyrtis,,0,23.67,120.78
Helonias sp.,,,,,Monocotyledon,,,Liliaceae,百合科,Heloniopsis,,0,22.42,120.79
Liriope spicata Lour.,,,,,Monocotyledon,,,Liliaceae,百合科,Liriope,,0,22.42,120.68
Abelmoschus esculentus (L.) Moench.,,,,,Dicotyledon,,,Malvaceae,錦葵科,Abelmoschus,,0,22.67,121.50
Fimbristylis littoralis Gaudich.,,,,,Monocotyledon,,,Cyperaceae,莎草科,Fimbristylis,,0,22.66,121.49
Meringium denticulatum (Sw.) Copel.,,,,,Pteridophyte,,,Hymenophyllaceae,膜蕨科,Meringium,,0,22.66,121.49
Ophiopogon intermedius D. Don,,,,,Monocotyledon,,,Liliaceae,百合科,Ophiopogon,,0,23.63,120.80
Helonias umbellata (Baker) N. Tanaka,,,,,Monocotyledon,,,Liliaceae,百合科,Heloniopsis,,0,23.63,120.80
Hibiscus boninensis Nak.,,,,,Dicotyledon,,,Malvaceae,錦葵科,Hibiscus,,0,22.05,121.52
Bulbostylis densa (Wall.) Hand.-Mazz.,,,,,Monocotyledon,,,Cyperaceae,莎草科,Bulbostylis,,0,22.02,121.60
Abelmoschus lanyunatus (S. S. Ying) S. S. Ying,,,,,Dicotyledon,,,Malvaceae,錦葵科,Abelmoschus,,0,22.02,121.57
Herissantia crispum (L.) Brizicky,,,,,Dicotyledon,,,Malvaceae,錦葵科,Herissantia,,0,24.18,120.78
Microgonium omphalodes Viellars,,,,,Pteridophyte,,,Hymenophyllaceae,膜蕨科,Microgonium,,0,23.12,121.36
Disporum kawakamii Hayata,,,,,Monocotyledon,,,Liliaceae,百合科,Disporum,,0,23.12,121.36
Nesopteris thysanostoma (Makino) Copel.,,,,,Pteridophyte,,,Hymenophyllaceae,膜蕨科,Nesopteris,,0,22.40,120.77
Malvastrum spicatum (L.) A. Gray,,,,,Dicotyledon,,,Malvaceae,錦葵科,Malvastrum,,0,22.80,120.41
Polygonatum odoratum (Miller) Druce. var. pluriflorum (Miq.) Ohwi,,,,,Monocotyledon,,,Liliaceae,百合科,Polygonatum,,0,24.37,120.91
Carex sociata Boott,,,,,Monocotyledon,,,Cyperaceae,莎草科,Carex,,0,24.66,121.48
Carex cruciata Wahl.,,,,,Monocotyledon,,,Cyperaceae,莎草科,Carex,,0,24.90,121.40
Tricyrtis formosana Bak. var. stolonifera  (Mstsum.) Masam.,,,,,Monocotyledon,,,Liliaceae,百合科,Tricyrtis,,0,24.90,121.40
Carex cruciata Wahl. subsp. cruciata,,,,,Monocotyledon,,,Cyperaceae,莎草科,Carex,,0,24.84,121.30
Pycreus flavidus (Retz.) T. Koyama,,,,,Monocotyledon,,,Cyperaceae,莎草科,Pycreus,,0,25.00,121.86
Torulinium odoratum (L.) S. Hooper,,,,,Monocotyledon,,,Cyperaceae,莎草科,Torulinium,,0,23.92,121.50
Cyperus pilosus Vahl.,,,,,Monocotyledon,,,Cyperaceae,莎草科,Cyperus,,0,25.00,121.86
Cyperus exaltatus Retz.,,,,,Monocotyledon,,,Cyperaceae,莎草科,Cyperus,,0,25.00,121.86
Fimbristylis umbellaris (Lam.) Vahl.,,,,,Monocotyledon,,,Cyperaceae,莎草科,Fimbristylis,,0,25.00,121.86
Cyperus difformis L.,,,,,Monocotyledon,,,Cyperaceae,莎草科,Cyperus,,0,25.00,121.86
