資料日期,代號,名稱,成交股數,成交筆數,成交金額,成交價格,未成交買價,未成交買量,未成交賣價,未成交賣量
"1110628","006201","元大富櫃50","300","2","5186","17.29","17.03","4408","17.29","1311"
"1110628","00679B","元大美債20年","750","10","25089","33.46","33.46","3560","33.50","850"
"1110628","00687B","國泰20年美債","0","0","0","0.00","35.06","2936","35.45","646"
"1110628","00694B","富邦美債1-3","0","0","0","0.00","37.71","4760","37.84","414"
"1110628","00695B","富邦美債7-10","0","0","0","0.00","34.35","2911","34.70","324"
"1110628","00696B","富邦美債20年","205","3","7175","35.01","35.01","2071","35.50","333"
"1110628","00697B","元大美債7-10","179","1","6422","35.88","35.88","1480","36.07","550"
"1110628","00718B","富邦中國政策債","0","0","0","0.00","20.09","2378","20.36","1657"
"1110628","00719B","元大美債1-3","0","0","0","0.00","30.39","3157","31.00","542"
"1110628","00720B","元大投資級公司債","80","4","2756","34.47","34.47","1282","35.00","1349"
"1110628","00721B","元大中國債3-5","853","1","39451","46.25","46.25","1870","46.66","1395"
"1110628","00722B","群益15年IG電信債","251","3","9475","37.75","37.75","1313","38.00","1631"
"1110628","00723B","群益15年IG科技債","0","0","0","0.00","33.20","1099","0.00","0"
"1110628","00724B","群益10年IG金融債","0","0","0","0.00","33.33","1159","0.00","0"
"1110628","00725B","國泰投資級公司債","0","0","0","0.00","35.33","2098","35.95","3"
"1110628","00726B","國泰5Y+新興債","0","0","0","0.00","32.56","2574","33.00","526"
"1110628","00727B","國泰1-5Y非投等債","0","0","0","0.00","36.20","2595","36.65","385"
"1110628","00734B","台新JPM新興債","0","0","0","0.00","15.41","2098","15.65","818"
"1110628","00740B","富邦全球投等債","0","0","0","0.00","38.18","3139","39.00","10"
"1110628","00741B","富邦全球非投等債","0","0","0","0.00","35.25","1539","35.46","1518"
"1110628","00744B","國泰中國政金債5+","0","0","0","0.00","43.27","3099","44.00","410"
"1110628","00745B","富邦中政債0-1","0","0","0","0.00","41.69","2142","41.85","1578"
"1110628","00746B","富邦A級公司債","0","0","0","0.00","35.87","2099","36.50","658"
"1110628","00747B","FH中國政策債","759","2","40036","52.75","52.75","4633","52.85","4781"
"1110628","00748B","凱基中國債3-10","0","0","0","0.00","42.65","1099","0.00","0"
