siteid,sitename,siteengname,county,township,basin,river,twd97lon,twd97lat,twd97tm2x,twd97tm2y,sampledate,itemname,itemengname,itemengabbreviation,itemvalue,itemunit,note
1031,上磺溪橋,"Upper Huang River Bridge",新北市,,磺溪流域,磺溪,121.5822730,25.1792090,308689.75,2785754.22,"2022-05-03 12:27:06",酸鹼值,pH,pH,2.45," ",
1031,上磺溪橋,"Upper Huang River Bridge",新北市,,磺溪流域,磺溪,121.5822730,25.1792090,308689.75,2785754.22,"2022-05-03 12:27:06",水溫,"Water Temperature",WT,17.7,℃,
1031,上磺溪橋,"Upper Huang River Bridge",新北市,,磺溪流域,磺溪,121.5822730,25.1792090,308689.75,2785754.22,"2022-05-03 12:27:06",河川污染分類指標,"River Pollution Index",RPI,1,,
1024,寶橋,"Bao Bridge",新北市,,淡水河流域,景美溪,121.5532681,24.9792661,305856.81,2763594.93,"2022-05-04 12:35:24",大腸桿菌群,"Coliform Group",Coli_G,73000,CFU/100mL,
1024,寶橋,"Bao Bridge",新北市,,淡水河流域,景美溪,121.5532681,24.9792661,305856.81,2763594.93,"2022-05-04 12:35:24",溶氧飽和度,"Dissolved Oxygen Saturation",DOS,89.9,%,
1024,寶橋,"Bao Bridge",新北市,,淡水河流域,景美溪,121.5532681,24.9792661,305856.81,2763594.93,"2022-05-04 12:35:24",氨氮,NH3-N,NH3_N,0.31,mg/L,
1024,寶橋,"Bao Bridge",新北市,,淡水河流域,景美溪,121.5532681,24.9792661,305856.81,2763594.93,"2022-05-04 12:35:24",化學需氧量,"Chemical Oxygen Demand",COD,7.4,mg/L,
1024,寶橋,"Bao Bridge",新北市,,淡水河流域,景美溪,121.5532681,24.9792661,305856.81,2763594.93,"2022-05-04 12:35:24",生化需氧量,"Biochemical Oxygen Demand",BOD5,2.0,mg/L,
1024,寶橋,"Bao Bridge",新北市,,淡水河流域,景美溪,121.5532681,24.9792661,305856.81,2763594.93,"2022-05-04 12:35:24",溶氧(電極法),"Dissolved Oxygen",DO,7.9,mg/L,
1024,寶橋,"Bao Bridge",新北市,,淡水河流域,景美溪,121.5532681,24.9792661,305856.81,2763594.93,"2022-05-04 12:35:24",懸浮固體,"Suspended Solid",SS,10.8,mg/L,
1024,寶橋,"Bao Bridge",新北市,,淡水河流域,景美溪,121.5532681,24.9792661,305856.81,2763594.93,"2022-05-04 12:35:24",氣溫,Temperature,TMP,26.8,℃,
1024,寶橋,"Bao Bridge",新北市,,淡水河流域,景美溪,121.5532681,24.9792661,305856.81,2763594.93,"2022-05-04 12:35:24",導電度,Conductivity,EC,177,μmho/cm25℃,
1024,寶橋,"Bao Bridge",新北市,,淡水河流域,景美溪,121.5532681,24.9792661,305856.81,2763594.93,"2022-05-04 12:35:24",酸鹼值,pH,pH,7.40," ",
1024,寶橋,"Bao Bridge",新北市,,淡水河流域,景美溪,121.5532681,24.9792661,305856.81,2763594.93,"2022-05-04 12:35:24",水溫,"Water Temperature",WT,22.1,℃,
1024,寶橋,"Bao Bridge",新北市,,淡水河流域,景美溪,121.5532681,24.9792661,305856.81,2763594.93,"2022-05-04 12:35:24",河川污染分類指標,"River Pollution Index",RPI,1,,
1023,萬壽橋,"Wanshou Bridge",臺北市,,淡水河流域,景美溪,121.5720450,24.9920531,307746.55,2765019.15,"2022-05-04 12:01:59",大腸桿菌群,"Coliform Group",Coli_G,380000,CFU/100mL,
1023,萬壽橋,"Wanshou Bridge",臺北市,,淡水河流域,景美溪,121.5720450,24.9920531,307746.55,2765019.15,"2022-05-04 12:01:59",溶氧飽和度,"Dissolved Oxygen Saturation",DOS,92.2,%,
1023,萬壽橋,"Wanshou Bridge",臺北市,,淡水河流域,景美溪,121.5720450,24.9920531,307746.55,2765019.15,"2022-05-04 12:01:59",氨氮,NH3-N,NH3_N,0.77,mg/L,
1023,萬壽橋,"Wanshou Bridge",臺北市,,淡水河流域,景美溪,121.5720450,24.9920531,307746.55,2765019.15,"2022-05-04 12:01:59",化學需氧量,"Chemical Oxygen Demand",COD,6.4,mg/L,
1023,萬壽橋,"Wanshou Bridge",臺北市,,淡水河流域,景美溪,121.5720450,24.9920531,307746.55,2765019.15,"2022-05-04 12:01:59",生化需氧量,"Biochemical Oxygen Demand",BOD5,1.6,mg/L,
1023,萬壽橋,"Wanshou Bridge",臺北市,,淡水河流域,景美溪,121.5720450,24.9920531,307746.55,2765019.15,"2022-05-04 12:01:59",溶氧(電極法),"Dissolved Oxygen",DO,8.2,mg/L,
1023,萬壽橋,"Wanshou Bridge",臺北市,,淡水河流域,景美溪,121.5720450,24.9920531,307746.55,2765019.15,"2022-05-04 12:01:59",懸浮固體,"Suspended Solid",SS,10.4,mg/L,
1023,萬壽橋,"Wanshou Bridge",臺北市,,淡水河流域,景美溪,121.5720450,24.9920531,307746.55,2765019.15,"2022-05-04 12:01:59",氣溫,Temperature,TMP,24.2,℃,
1023,萬壽橋,"Wanshou Bridge",臺北市,,淡水河流域,景美溪,121.5720450,24.9920531,307746.55,2765019.15,"2022-05-04 12:01:59",導電度,Conductivity,EC,162,μmho/cm25℃,
1023,萬壽橋,"Wanshou Bridge",臺北市,,淡水河流域,景美溪,121.5720450,24.9920531,307746.55,2765019.15,"2022-05-04 12:01:59",酸鹼值,pH,pH,7.62," ",
1023,萬壽橋,"Wanshou Bridge",臺北市,,淡水河流域,景美溪,121.5720450,24.9920531,307746.55,2765019.15,"2022-05-04 12:01:59",水溫,"Water Temperature",WT,21.1,℃,
1023,萬壽橋,"Wanshou Bridge",臺北市,,淡水河流域,景美溪,121.5720450,24.9920531,307746.55,2765019.15,"2022-05-04 12:01:59",河川污染分類指標,"River Pollution Index",RPI,1,,
1022,昇高大橋(取代深坑中正橋),"Shenkeng Jhongjheng Bridge",新北市,,淡水河流域,景美溪,121.6128519,25.0006030,311861.73,2765984.18,"2022-05-04 10:46:50",大腸桿菌群,"Coliform Group",Coli_G,6400,CFU/100mL,
