"yearmonth","organ","field1","field2","field3","field4","field5","field6","field7","field8","field9","field10"
"103年1月","板橋分局","","","","","","","1.0","","",""
"103年1月","海山分局","","","","","","","","","",""
"103年1月","中和一分局","","","","","","","","","",""
"103年1月","中和二分局","","","","","","","","","",""
"103年1月","永和分局","","","","","","","","","",""
"103年1月","新店分局","","","","1.0","","","","","",""
"103年1月","三重分局","","","","","","","1.0","","",""
"103年1月","新莊分局","","","","","","","2.0","","",""
"103年1月","土城分局","","","","","","","","","",""
"103年1月","樹林分局","","","","","","","","","",""
"103年1月","三峽分局","","","","","","","1.0","","",""
"103年1月","蘆洲分局","","","","","","","2.0","","",""
"103年1月","淡水分局","","","","","","","","","",""
"103年1月","汐止分局","","","","","","","","","",""
"103年1月","金山分局","","","","","","","","","",""
"103年1月","瑞芳分局","","","","1.0","","","","","",""
"103年2月","板橋分局","","","","","","","","","",""
"103年2月","海山分局","","","","","","","","","",""
"103年2月","中和一分局","","","","","","","","","",""
"103年2月","中和二分局","","","","","","","","","",""
"103年2月","永和分局","","","1","","","","","","",""
"103年2月","新店分局","","","","","","","","","",""
"103年2月","三重分局","","","","","","","","","",""
"103年2月","新莊分局","","","1","","","","","","",""
"103年2月","土城分局","","","1","","","","","","",""
"103年2月","樹林分局","","","1","","","","","","",""
"103年2月","三峽分局","","","1","","","","","","",""
"103年2月","蘆洲分局","","","1","","","","","","",""
"103年2月","淡水分局","","","","","","","","","",""
"103年2月","汐止分局","","","1","","","","","","",""
"103年2月","金山分局","","","","","","","","","",""
"103年2月","瑞芳分局","","","","","","","","","",""
"103年3月","板橋分局","","","","","","","1.0","","",""
"103年3月","海山分局","","","","","","","","","",""
"103年3月","中和一分局","","","","","","","","","",""
"103年3月","中和二分局","","","","","","","","","",""
"103年3月","永和分局","","","","","","","","","",""
"103年3月","新店分局","","","","","","","","","",""
"103年3月","三重分局","","","","","","","","","",""
"103年3月","新莊分局","","","","","","","","","",""
"103年3月","土城分局","","","","","","","","","",""
"103年3月","樹林分局","","","","","","","1.0","","",""
"103年3月","三峽分局","","","","","","","","","",""
"103年3月","蘆洲分局","","1.0","","","","","","","",""
"103年3月","淡水分局","","","","","","","","","",""
"103年3月","汐止分局","","","","","","","","","",""
"103年3月","金山分局","","","","","","","","","",""
"103年3月","瑞芳分局","","","","","","","","","",""
"103年4月","板橋分局","","","","","","","1.0","","",""
"103年4月","海山分局","","","","","","","","","",""
"103年4月","中和一分局","","","","","","","1.0","","",""
"103年4月","中和二分局","","","","","","","","","",""
"103年4月","永和分局","","","","","","","","","",""
"103年4月","新店分局","","","","","","","","","",""
"103年4月","三重分局","","","","","","","","","",""
"103年4月","新莊分局","","","","","","","2.0","","",""
"103年4月","土城分局","","","","","","","1.0","","",""
"103年4月","樹林分局","","","","","","","","","",""
"103年4月","三峽分局","","","","","","","2.0","","",""
"103年4月","蘆洲分局","","","","","","","","","",""
"103年4月","淡水分局","","","","","","","1.0","","",""
"103年4月","汐止分局","","","","","","","","","",""
"103年4月","金山分局","","","","","","","","","",""
"103年4月","瑞芳分局","","","","","","","","","",""
"103年5月","板橋分局","","","","","","","","","",""
"103年5月","海山分局","","1.0","","","","","","","",""
"103年5月","中和一分局","","","","","","","","","",""
"103年5月","中和二分局","","","","","","","","","",""
"103年5月","永和分局","","","","","","","","","",""
"103年5月","新店分局","","","","","","","","","",""
"103年5月","三重分局","","","","","","","","","",""
"103年5月","新莊分局","","","","1.0","","","","","",""
"103年5月","土城分局","","","","","","","","","",""
"103年5月","樹林分局","","","","1.0","","","","","",""
