項次,行政區,分局,名稱,里別,地址,地下層數位址,容納人數,座標X,座標Y,場所名稱,,
1,大同區,大同分局,公有建築物,民權里,臺北市大同區承德路二段235號,1,1581,121.518527,25.061274,成淵高中-培英樓,,
2,大同區,大同分局,公有建築物,國慶里,臺北市大同區重慶北路三段168號,1,152,121.513527,25.068808,民族路派出所,,
3,大同區,大同分局,公有建築物,國慶里,臺北市大同區昌吉街97號,1,1809,121.512362,25.06603,延平國小-溫水游泳館,,
4,大同區,大同分局,公有建築物,揚雅里,臺北市大同區昌吉街57號,1,8227,121.515142,25.06602,大同區行政中心,,
5,大同區,大同分局,公有建築物,隆和里,臺北市大同區民權西路223號,1,1415,121.513129,25.063196,大橋國小-教學大樓南棟,,
6,大同區,大同分局,公有建築物,至聖里,臺北市大同區承德路三段249號,1,1295,121.518822,25.071311,中華電信北區電信局,,
7,大同區,大同分局,公有建築物,老師里,臺北市大同區酒泉街235號,1,488,121.510284,25.072278,衛工處-行政大樓,,
8,大同區,大同分局,公有建築物,老師里,臺北市大同區酒泉街235號,3,3075,121.510284,25.072278,衛工處-迪化廠,,
9,大同區,大同分局,公有建築物,老師里,臺北市大同區重慶北路三段320號,1,529,121.513589,25.074698,啟聰學校-南排大樓,,
10,大同區,大同分局,公有建築物,老師里,臺北市大同區重慶北路三段320號,1,483,121.513589,25.074698,啟聰學校-大龍峒非營利幼兒園,,
11,大同區,大同分局,公有建築物,老師里,臺北市大同區重慶北路三段320號,1,1077,121.513589,25.074698,啟聰學校-行政大樓,,
12,大同區,大同分局,公有建築物,老師里,臺北市大同區重慶北路三段320號,1,1605,121.513589,25.074698,啟聰學校-北排大樓,,
13,大同區,大同分局,公有建築物,保安里,臺北市大同區哈密街47號,1,8017,121.516721,25.073405,大龍國小-大城樓,,
14,大同區,大同分局,公有建築物,保安里,臺北市大同區大龍街275號,1,731,121.516084,25.072548,孔子廟-明倫堂,,
15,大同區,大同分局,公有建築物,重慶里,臺北市大同區承德路三段336號,1,4218,121.51989,25.075533,明倫高中-多功能大樓,,
16,大同區,大同分局,公有建築物,重慶里,臺北市大同區承德路三段336號,1,64,121.51989,25.075533,明倫高中-綜合大樓,,
17,大同區,大同分局,公有建築物,永樂里,臺北市大同區迪化街一段21號,1,6442,121.510324,25.0545,永樂市場,,
18,大同區,大同分局,公有建築物,玉泉里,臺北市大同區鄭州路145號,1,1530,121.508887,25.050692,中興醫院-門診區,,
19,大同區,大同分局,公有建築物,玉泉里,臺北市大同區塔城街13號,1,6164,121.510599,25.051219,財政部關務署,,
20,大同區,大同分局,公有建築物,玉泉里,臺北市大同區塔城街24巷1號,2,814,121.510317,25.050816,中華電信北區營運處,,
21,大同區,大同分局,公有建築物,玉泉里,臺北市大同區鄭州路145號,2,10350,121.508887,25.050692,中興醫院-急診區,,
22,大同區,大同分局,公有建築物,玉泉里,臺北市大同區鄭州路109號,1,1296,121.511354,25.050243,消防局-延平分隊,,
23,大同區,大同分局,公有建築物,玉泉里,臺北市大同區西寧北路32號,1,1090,121.508267,25.051233,忠孝國中-至美樓,,
24,大同區,大同分局,公有建築物,玉泉里,臺北市大同區西寧北路32號,1,386,121.508267,25.051233,忠孝國中-至真樓,,
25,大同區,大同分局,公有建築物,玉泉里,臺北市大同區西寧北路32號,1,1242,121.508267,25.051233,忠孝國中-學生活動中心,,
26,大同區,大同分局,公有建築物,延平里,臺北市大同區保安街47-1號,1、2,7019,121.512075,25.059249,民生西路派出所,,
27,大同區,大同分局,公有建築物,南芳里,臺北市大同區延平北路二段239號,1,1272,121.511239,25.05994,太平國小-行政大樓,,
28,大同區,大同分局,公有建築物,南芳里,臺北市大同區延平北路二段266號,1,751,121.511134,25.061693,永樂國小-五育樓,,
29,大同區,大同分局,公有建築物,建泰里,臺北市大同區長安西路37-1號,2,8237,121.519696,25.050367,建成國中-C棟大樓,,
30,大同區,大同分局,公有建築物,星明里,臺北市大同區寧夏路35號,1,801,121.515568,25.056533,蓬萊國小-崇望樓,,
31,大同區,大同分局,公有建築物,星明里,臺北市大同區寧夏路35號,1,1388,121.515568,25.056533,蓬萊國小-崇城樓,,
32,大同區,大同分局,公有建築物,光能里,臺北市大同區承德路二段35號,1,217,121.518435,25.054794,消防局-建成分隊,,
33,大同區,大同分局,公有建築物,雙連里,臺北市大同區錦西街200號,2,2396,121.515001,25.059508,大同分局,,
34,大同區,大同分局,公有建築物,民權里,臺北市大同區重慶北路二段223號,1,1055,121.513748,25.06147,消防局-大同分隊,,
35,大同區,大同分局,公有建築物,蓬萊里,臺北市大同區昌吉街52號,2,805,121.516341,25.065815,大同區健康服務中心,,
36,大同區,大同分局,公有建築物,蓬萊里,臺北市大同區大龍街51號,3,2781,121.516103,25.064791,大同運動中心,,
37,大同區,大同分局,公有建築物,蓬萊里,臺北市大同區大龍街51號,1,849,121.516103,25.064791,大同國小-至美樓,,
38,大同區,大同分局,捷運車站,民權里,臺北市大同區民權西路72號,1、2、3,30228,121.519474,25.062602,捷運民權西路站,,
39,大同區,大同分局,捷運車站,雙連里,臺北市大同區民生西路47號,1、2,21544,121.520568,25.05777,捷運雙連站,,
40,大同區,大同分局,捷運車站,玉泉里,臺北市大同區塔城街10號,1、2、3,29858,121.509922,25.049109,捷運北門站,,
41,大同區,大同分局,捷運車站,隆和里,臺北市大同區民權西路223號,1、2,11421,121.513129,25.063196,捷運大橋頭站,,
42,大同區,大同分局,地下停車場,玉泉里,臺北市大同區塔城街11號,1、2,7700,121.51062,25.050868,塔城公園地下停車場,,
43,大同區,大同分局,地下停車場,玉泉里,市民大道(塔城段) 西寧北路-塔城街,1、2,4200,121.530992,25.046233,市民大道-塔城段地下停車場,,
44,大同區,大同分局,地下停車場,大有里,臺北市大同區歸綏街243號,1、2,12439,121.510582,25.058356,大稻埕公園地下停車場,,
45,大同區,大同分局,地下停車場,民權里,臺北市大同區承德路二段235-1號,1、2,12858,121.520028,25.060466,成淵高中地下停車場,,
46,大同區,大同分局,地下停車場,建泰里,臺北市大同區長安西路37-1號,1、2,14009,121.519696,25.050367,建成國中地下停車場,,
47,大同區,大同分局,地下停車場,朝陽里,臺北市大同區重慶北路二段68號,1、2,12626,121.513712,25.056142,朝陽公園地下停車場,,
48,大同區,大同分局,地下停車場,星明里,臺北市大同區寧夏路35號,1、2,8405,121.515568,25.056533,蓬萊國小地下停車場,,
49,大同區,大同分局,地下停車場,光能里,臺北市大同區承德路二段31號,1、2,14232,121.518254,25.05393,建成公園地下停車場,,
50,大同區,大同分局,地下停車場,保安里,臺北市大同區哈密街47號,1、2,19749,121.516721,25.073405,大龍國小地下停車場,,
51,大同區,大同分局,地下停車場,老師里,臺北市大同區延平北路四段205號,1、2,12706,121.511747,25.074299,啟聰學校地下停車場,,
52,大同區,大同分局,地下街,建明里,臺北市大同區長安西路52之1號,1,19596,121.520028,25.050115,中山地下街,,
53,萬華區,萬華分局,公有建築物,西門里,臺北市萬華區成都路98號,1,770,121.50354,25.04324,西門國小,,
54,萬華區,萬華分局,公有建築物,青山里,臺北市萬華區梧州街36號,1,2040,121.497487,25.037372,社會局,,
55,萬華區,萬華分局,公有建築物,青山里,臺北市萬華區和平西路三段235號,1,1262,121.496205,25.035591,龍山國小,,
56,萬華區,萬華分局,公有建築物,福音里,臺北市萬華區桂林路64號,1,112,121.502762,25.038063,老松國小,,
57,萬華區,萬華分局,公有建築物,頂碩里,臺北市萬華區莒光路171號,1,176,121.502702,25.031099,莒光派出所,,
58,萬華區,萬華分局,公有建築物,雙園里,臺北市萬華區莒光路315號,1,797,121.497747,25.031255,雙園國小,,
59,萬華區,萬華分局,公有建築物,華江里,臺北市萬華區環河南路二段196號,1,114,121.491802,25.032318,華江派出所,,
60,萬華區,萬華分局,公有建築物,華江里,臺北市萬華區環河南路二段250巷42弄2號,1,773,121.491197,25.034077,華江國小-華中樓,,
61,萬華區,萬華分局,公有建築物,日善里,臺北市萬華區東園街17號,1,565,121.495624,25.028179,西園路派出所,,
62,萬華區,萬華分局,公有建築物,日善里,臺北市萬華區東園街19號,1,1037,121.495667,25.027916,西區少年服務中心,,
63,萬華區, 萬華分局,公有建築物,日善里,臺北市萬華區東園街65號,1,216,121.49632,25.026743,交通部公路局總局,,
64,萬華區,萬華分局,公有建築物,日善里,臺北市萬華區東園街73巷5號,1,148,121.496688,25.026081,日善里辦公室,,
65,萬華區,萬華分局,公有建築物,日善里,臺北市萬華區東園街73巷65號,1,670,121.498864,25.02662,西園國小,,
66,萬華區,萬華分局,公有建築物,日善里,臺北市萬華區西藏路213號,1,3804,121.496168,25.028525,華江高級中學,,
67,萬華區,萬華分局,公有建築物,日善里,臺北市萬華區西藏路201號,1,11516,121.498701,25.029159,萬華國中,,
68,萬華區,萬華分局,公有建築物,新安里,臺北市萬華區萬大路135-161號,1,7817,121.500377,25.029059,臺北市國宅處社區管理會,,
69,萬華區,萬華分局,供公眾使用建築物,萬壽里,臺北市萬華區武昌街二段89號,1,252,121.504028,25.045452,豪華戲院,,
70,萬華區,萬華分局,供公眾使用建築物,萬壽里,臺北市萬華區武昌街二段85號,1,266,121.504861,25.045269,樂聲影城,,
71,萬華區,萬華分局,供公眾使用建築物,日善里,臺北市萬華區萬大路200號,2,716,121.500299,25.02738,真光堂,,
72,萬華區,萬華分局,捷運車站,富民里,臺北市萬華區西園路一段153號,1、2,55225,121.49946,25.035852,捷運龍山寺站,,
73,萬華區,萬華分局,地下停車場,萬壽里,臺北市萬華區峨眉街83號,1、2,4130,121.505267,25.043984,峨眉立體停車場,,
74,萬華區,萬華分局,地下停車場,福星里,臺北市萬華區環河南路一段1號,1、2,12719,121.505897,25.048762,洛陽綜合立體停車場,,
75,萬華區,萬華分局,地下停車場,騰雲里,臺北市萬華區中華路二段606巷1號,1、2,10335,121.510012,25.023956,古亭國中地下停車場,,
76,萬華區,萬華分局,地下停車場,騰雲里,臺北市萬華區國興路5號,1、2,18885,121.507754,25.024467,青年公園高爾夫球場地下停車場,,
77,萬華區,萬華分局,地下停車場,和德里,臺北市萬華區西園路二段320巷55弄3號,1、2,15223,121.492054,25.028299,雙園國中地下停車場,,
78,萬華區,萬華分局,地下停車場,騰雲里,臺北市萬華區青年路69號,1、2,15455,121.502966,25.023446,青年公園棒球場地下停車場,,
79,萬華區,萬華分局,地下停車場,綠堤里,臺北市萬華區艋舺大道462號,1、2,13245,121.490848,25.028324,萬板地下停車場,,
80,萬華區,萬華分局,地下停車場,富民里,臺北市萬華區西園路一段145號,3、4,13523,121.499523,25.036142,艋舺公園地下停車場,,
81,萬華區,萬華分局,地下停車場,日善里,臺北市萬華區西藏路201號,1、2,30681,121.498701,25.029159,萬華國中地下停車場,,
82,萬華區,萬華分局,地下停車場,糖廍里,臺北市萬華區大理街160巷2號,1、2,3045,121.494157,25.033567,新糖廍公園地下停車場,,
83,萬華區,萬華分局,地下停車場,富福里,臺北市萬華區康定路382號,1、2,16786,121.500326,25.033383,萬華車站地下停車場,,
84,萬華區,萬華分局,地下街,富民里,臺北市萬華區西園路一段145號地下街,1、2,8874,121.499523,25.036142,龍山寺地下街,,
85,萬華區,萬華分局,公有建築物,青山里,臺北市萬華區桂林路135號,1,1436,121.499611,25.038601,萬華分局,,
86,中山區,中山分局,公有建築物,新庄里,臺北市中山區新生北路三段101號,1,793,121.52814,25.06891,北市自來水處-大同加壓站,,
87,中山區,中山分局,公有建築物,新庄里,臺北市中山區新生北路三段105號,1,797,121.528778,25.070225,公燈處-圓山公園管理所,,
88,中山區,中山分局,公有建築物,中原里,臺北市中山區長春路116號,1,2519,121.52963,25.054717,吉林國小-活動中心,,
89,中山區,中山分局,公有建築物,中原里,臺北市中山區新生北路二段101巷2號,1,1816,121.528462,25.057268,社會局,,
90,中山區,中山分局,公有建築物,興亞里,臺北市中山區松江路70巷11號,1,798,121.531925,25.049413,長安國中-活動中心,,
91,中山區,中山分局,公有建築物,興亞里,臺北市中山區長安東路二段11號,1,298,121.530579,25.048598,中山分局警備隊,,
92,中山區,中山分局,公有建築物,中央里,臺北市中山區長春路165號,1,2055,121.533883,25.054948,長春國小-活動中心,,
93,中山區,中山分局,公有建築物,中央里,臺北市中山區長春路167號,1,6570,121.535107,25.054986,大同高中-活動中心,,
94,中山區,中山分局,公有建築物,永安里,臺北市中山區明水路397巷19弄1號,2,9884,121.549392,25.078735,永安國小-活動中心,,
95,中山區,中山分局,公有建築物,大直里,臺北市中山區大直街2號,1,1150,121.546432,25.080494,大直國小-活動中心,,
96,中山區,中山分局,公有建築物,劍潭里,臺北市中山區北安路420號,3,776,121.54285,25.079432,大直高中-活動中心,,
97,中山區,中山分局,公有建築物,劍潭里,臺北市中山區明水路325號,1,2906,121.541624,25.077788,北安國中-綜合大樓,,
98,中山區,中山分局,公有建築物,劍潭里,臺北市中山區北安路305號,3,2718,121.538849,25.078638,海軍司令部,,
99,中山區,中山分局,公有建築物,劍潭里,臺北市中山區北安路387號,1,35437,121.540409,25.079764,空軍司令部,,
100,中山區,中山分局,公有建築物,力行里,北市中山區龍江路62號,1,240,121.540263,25.050622,中正國民小學-活動中心,,
101,中山區,中山分局,公有建築物,力行里,臺北市中山區朱崙街20號,2,6473,121.539463,25.049897,體育署,,
102,中山區,中山分局,公有建築物,力行里,臺北市中山區長安東路二段141號,1,569,121.537161,25.048532,中山女子高級中學-活動中心,,
103,中山區,中山分局,公有建築物,力行里,臺北市中山區長安東路二段165號,2,344,121.54057,25.04843,長安東路派出所,,
104,中山區,中山分局,公有建築物,朱園里,臺北市中山區八德路二段85號,1,137,121.535692,25.045869,建國啤酒廠,,
105,中山區,中山分局,公有建築物,恆安里,臺北市中山區民權東路一段69號,1,461,121.526315,25.062913,中山國小-活動中心,,
106,中山區,中山分局,公有建築物,恆安里,臺北市中山區民權東路一段69號,1,349,121.526315,25.062913,中山國小-教學大樓,,
107,中山區,中山分局,公有建築物,江山里,臺北市中山區復興北路280巷11號,1,516,121.543373,25.058802,臺北大學-宿舍,,
108,中山區,中山分局,公有建築物,江山里,臺北市中山區復興北路294巷13號,1,322,121.54329,25.059135,臺北大學-宿舍,,
109,中山區,中山分局,公有建築物,江山里,臺北市中山區民生東路三段67號,1,590,121.542278,25.058049,臺北大學-教學大樓,,
110,中山區,中山分局,公有建築物,江山里,臺北市中山區民生東路三段67號,1,2740,121.542278,25.058049,臺北大學-資訊大樓,,
111,中山區,中山分局,公有建築物,江寧里,臺北市中山區民權東路三段12號,1、2,4594,121.539732,25.062134,國軍國眷住宅公用合作社,,
